Время (миллисекунды);элементы
0,000217;263
0,000223;326
0,000265;310
0,000293;1041
0,000259;130
0,000272;795
0,000234;597
0,000227;702
0,000225;329
0,000205;1044
0,000241;531
0,000208;702
0,000202;139
0,00018;391
0,000256;235
0,000231;399
0,000246;444
0,000249;704
0,00019;479
0,000178;110
0,000196;688
0,000219;406
0,000224;393
0,000205;406
0,000141;615
0,000148;466
0,00021;409
0,000242;895
0,000188;196
0,000218;188
0,000224;324
0,000225;315
0,000185;147
0,000137;538
0,000167;246
0,000153;169
0,000291;614
0,000198;922
0,00018;750
0,000156;364
0,000231;713
0,000206;219
0,000181;402
0,000256;89
0,000231;286
0,000206;369
0,000281;298
0,000236;844
0,000187;964
0,000137;47
0,000187;215
0,000157;453
0,000231;470
0,000226;10
0,000245;610
0,000249;313
0,00025;540
0,00023;492
0,000206;823
0,000241;403
0,000228;901
0,000206;239
0,000161;275
0,000212;539
0,000282;77
0,000236;77
0,000167;287
0,000193;226
0,000219;616
0,000164;598
0,000213;344
0,000223;561
0,000245;544
0,000249;488
0,00023;669
0,000266;348
0,000233;226
0,000427;721
0,000265;359
0,000273;159
0,000215;160
0,000203;97
0,000241;192
0,000228;633
0,000186;865
0,000177;146
0,000175;446
0,000155;118
0,000171;204
0,000194;317
0,000179;179
0,000136;254
0,000247;173
0,000309;534
0,000222;352
0,000184;537
0,000237;143
0,000227;1018
0,000245;49
0,000189;431
0,000198;550
0,00022;547
0,000204;605
0,000201;387
0,00018;314
0,000156;440
0,000231;499
0,000246;118
0,000289;335
0,000218;483
0,000244;315
0,000249;292
0,00019;406
0,000178;605
0,000216;560
0,000223;965
0,000205;465
0,000321;200
0,000224;370
0,000185;327
0,000177;536
0,000195;253
0,000179;134
0,000196;337
0,000199;344
0,00018;127
0,000156;171
0,000251;239
0,00015;265
0,00015;374
0,00011;176
0,000142;418
0,000208;647
0,000202;353
0,00016;413
0,000212;727
0,000242;860
0,000208;74
0,000122;325
0,000164;553
0,000153;193
0,000211;444
0,000202;659
0,00018;363
0,000196;209
0,000219;535
0,000204;569
0,000921;375
0,000304;481
0,000201;855
0,0003;679
0,00022;719
0,000184;401
0,000197;281
0,000179;313
0,000216;323
0,000243;706
0,000249;508
0,00013;120
0,000146;569
0,000189;451
0,000158;201
0,000172;236
0,000194;229
0,000199;126
0,0002;527
0,00016;89
0,000192;455
0,000158;471
0,000172;279
